"last_name","frequency"
"Ponthieu                      ","205"
"Emden                         ","205"
"Lanphier                      ","205"
"Ecklund                       ","205"
"Encarnacion                   ","205"
"Onuegbe                       ","205"
"Shimshoni                     ","205"
"Marakhovsky                   ","205"
"Geffroy                       ","205"
"Matzov                        ","205"
"Garnham                       ","205"
"Coors                         ","204"
"Alpin                         ","204"
"Linares                       ","204"
"Legleitner                    ","204"
"Riexinger                     ","204"
"Whitcomb                      ","204"
"Argence                       ","204"
"Shiratori                     ","204"
"Malinowski                    ","204"
"Shrader                       ","204"
"Desikan                       ","204"
"Luders                        ","204"
"Swick                         ","204"
"Kirkerud                      ","203"
"Tetzlaff                      ","203"
"Tramer                        ","203"
"Lorho                         ","203"
"Ramsay                        ","203"
"Ishibashi                     ","203"
"Feinberg                      ","203"
"Herbst                        ","203"
"Ghandeharizadeh               ","203"
"Doering                       ","203"
"Conta                         ","203"
"Penttonen                     ","203"
"Champarnaud                   ","203"
"Kornyak                       ","202"
"Lubachevsky                   ","202"
"Soicher                       ","202"
"Thummel                       ","202"
"Biran                         ","202"
"Kilgour                       ","202"
"Karnin                        ","202"
"Gihr                          ","202"
"Pews                          ","202"
"Yurek                         ","202"
"Schapire                      ","202"
"Schlegelmilch                 ","202"
"Pelc                          ","201"
"Bahl                          ","201"
"Mukaidono                     ","201"
"Wynblatt                      ","201"
"Rouquie                       ","201"
"McConalogue                   ","201"
"Stanfel                       ","201"
"Erdi                          ","201"
"Perez                         ","201"
"Brodie                        ","201"
"Rusterholz                    ","201"
"Schusler                      ","201"
"Krybus                        ","201"
"Albarhamtoshy                 ","201"
"Morrow                        ","201"
"Kalorkoti                     ","201"
"Kavanagh                      ","201"
"Cooke                         ","201"
"Genther                       ","201"
"Taneja                        ","201"
"Bernardeschi                  ","201"
"Clouatre                      ","201"
"Beetstra                      ","200"
"Domenig                       ","200"
"Mitzlaff                      ","200"
"Auyong                        ","200"
"Speek                         ","200"
"Gimbel                        ","200"
"Pfau                          ","200"
"Shumilov                      ","200"
"Lindenbaum                    ","200"
"Taubenfeld                    ","200"
"Heystek                       ","200"
"Pocchiola                     ","200"
"Norsworthy                    ","200"
"Hiroyama                      ","200"
"Imataki                       ","200"
"Sgarro                        ","200"
"Kaelbling                     ","200"
"Radivojevic                   ","200"
"Hoppenstand                   ","200"
"Bugrara                       ","200"
"Schreiter                     ","200"
"Gulik                         ","200"
"Lamma                         ","200"
"Iwayama                       ","200"
"Nannarelli                    ","200"
"Dredge                        ","200"
"Otillio                       ","200"
"McClurg                       ","200"
"Snedden                       ","200"
"Rosch                         ","200"
"Hammerschmidt                 ","200"
"Itzigehl                      ","200"
"Fargier                       ","200"
"Maraist                       ","200"
"Kawashima                     ","199"
"Muchinsky                     ","199"
"Michaels                      ","199"
"Skafidas                      ","199"
"Hitomi                        ","199"
"Zaumen                        ","199"
"Hofman                        ","199"
"Tiemann                       ","199"
"Gammage                       ","199"
"Akaboshi                      ","199"
"Maierhofer                    ","199"
"Neimat                        ","199"
"Hettesheimer                  ","199"
"Sridhar                       ","199"
"Speckmann                     ","199"
"Karner                        ","199"
"Mawatari                      ","199"
"Fortenbacher                  ","199"
"Warwick                       ","199"
"Curless                       ","199"
"Munawer                       ","199"
"Slobodova                     ","199"
"Rassart                       ","199"
"Servieres                     ","199"
"Brookner                      ","199"
"Merks                         ","199"
"Ghazalie                      ","198"
"Schiper                       ","198"
"Katiyar                       ","198"
"Piveteau                      ","198"
"Matzen                        ","198"
"Bhattacharjee                 ","198"
"Landherr                      ","198"
"Stanger                       ","198"
"Zallocco                      ","198"
"Hiyoshi                       ","198"
"Parveen                       ","198"
"Khamsi                        ","198"
"Bednarek                      ","198"
"McFarlin                      ","198"
"Picco                         ","198"
"Pashtan                       ","198"
"Chinin                        ","198"
"Lalonde                       ","198"
"Poupard                       ","198"
"Vigier                        ","198"
"Vernadat                      ","198"
"Braccini                      ","197"
"Schmiedel                     ","197"
"Kampfer                       ","197"
"Spelt                         ","197"
"Guting                        ","197"
"Oppitz                        ","197"
"Deville                       ","197"
"Jiang                         ","197"
"Antonakopoulos                ","197"
"Boyle                         ","197"
"Srimani                       ","197"
"Ohori                         ","197"
"Viele                         ","197"
"Miara                         ","197"
"Weisert                       ","197"
"Szilard                       ","197"
"Baby                          ","197"
"Granlund                      ","197"
"Mikschl                       ","197"
"Merel                         ","197"
"Avouris                       ","197"
"Nishimukai                    ","197"
"Suomi                         ","197"
"Karcich                       ","197"
"Erdmenger                     ","197"
"Weedman                       ","197"
"Jonsson                       ","197"
"Ranta                         ","197"
"Luca                          ","197"
"Pelz                          ","197"
"Gornas                        ","197"
"Rajaraman                     ","197"
"Ciolek                        ","197"
"Ranum                         ","197"
"Brender                       ","196"
"Syang                         ","196"
"Monarch                       ","196"
"Schaap                        ","196"
"Grospietsch                   ","196"
"Sadowski                      ","196"
"Setia                         ","196"
"Gajiwala                      ","196"
"Servi                         ","196"
"Papadias                      ","196"
"Rosenbaum                     ","196"
"Simkin                        ","196"
"Hofstetter                    ","196"
"Heuser                        ","196"
"Hartvigsen                    ","196"
"Kakkar                        ","196"
"Borstler                      ","196"
"Leaver                        ","196"
"Meriste                       ","196"
"Sichman                       ","196"
"Masand                        ","196"
"Gustavson                     ","196"
"Antonisse                     ","196"
"Swan                          ","196"
"Schach                        ","196"
"Michaeli                      ","196"
"Quadeer                       ","196"
"Carrere                       ","196"
"Merey                         ","196"
"Conia                         ","196"
"Llado                         ","196"
"Chepyzhov                     ","196"
"Birta                         ","195"
"Ouhyoung                      ","195"
"Engberts                      ","195"
"Rosin                         ","195"
"Langford                      ","195"
"Kalloufi                      ","195"
"Zumaque                       ","195"
"Cools                         ","195"
"Ermel                         ","195"
"Muntz                         ","195"
"Swift                         ","195"
"Alameldin                     ","195"
"Picel                         ","195"
"Kuhnemann                     ","195"
"Wrigley                       ","195"
"Daescu                        ","195"
"Marrakchi                     ","195"
"Mellouli                      ","195"
"Conde                         ","195"
"Munke                         ","195"
"Papsdorf                      ","195"
"Kumaresan                     ","195"
"Hardjono                      ","195"
"Serna                         ","195"
"Camurati                      ","195"
"Gronowski                     ","195"
"Segond                        ","195"
"Vilarrasa                     ","195"
"Rindone                       ","195"
"Bouloucos                     ","195"
"Matheson                      ","195"
"Keustermans                   ","195"
"Manders                       ","195"
"Luft                          ","195"
"Rikino                        ","195"
"Haumacher                     ","194"
"Frolund                       ","194"
"Shanbhogue                    ","194"
"Melski                        ","194"
"Brobst                        ","194"
"Remmele                       ","194"
"Peltason                      ","194"
"Schwaller                     ","194"
"Kusakabe                      ","194"
"Unno                          ","194"
"Tagansky                      ","194"
"Basagni                       ","194"
"Stentiford                    ","194"
"Salvesen                      ","194"
"Erez                          ","194"
"Schaad                        ","194"
"Irland                        ","194"
"Fujisaki                      ","194"
"Docker                        ","194"
"Kobara                        ","194"
"Hofting                       ","194"
"Nanard                        ","194"
"Birge                         ","194"
"Schaar                        ","194"
"Vickson                       ","194"
"Constantine                   ","194"
"Hiraishi                      ","194"
"Kuszyk                        ","194"
"Juneja                        ","194"
"Iivonen                       ","194"
"Wursthorn                     ","193"
"Christ                        ","193"
"Jakobus                       ","193"
"Butner                        ","193"
"Sifakis                       ","193"
"Radhakrishnan                 ","193"
"Bernatsky                     ","193"
"Candan                        ","193"
"Camarinopoulos                ","193"
"Cochrane                      ","193"
"Serre                         ","193"
"Sundgren                      ","193"
"Rosis                         ","193"
"Linnainmaa                    ","193"
"Chvatal                       ","193"
"Melichar                      ","193"
"Kleiser                       ","193"
"Hertweck                      ","193"
"Melton                        ","193"
"Gist                          ","193"
"Thebaut                       ","193"
"Stassinopoulos                ","193"
"Crelier                       ","193"
"Alblas                        ","193"
"Morrin                        ","193"
"Colorni                       ","193"
"Junet                         ","193"
"Worfolk                       ","193"
"Hutton                        ","192"
"Luby                          ","192"
"Remmers                       ","192"
"Barbanera                     ","192"
"Ertl                          ","192"
"Baaz                          ","192"
"Zongker                       ","192"
"Parascandalo                  ","192"
"Wossner                       ","192"
"Maliniak                      ","192"
"Dulin                         ","192"
"Wroclawski                    ","192"
"Kisuki                        ","192"
"Woycyznski                    ","192"
"Kemmerer                      ","192"
"Apsitis                       ","192"
"Tomescu                       ","192"
"Thimonier                     ","192"
"Rajala                        ","192"
"Randi                         ","192"
"Menhoudj                      ","192"
"Baer                          ","192"
"Eickenmeyer                   ","192"
"Cherinka                      ","192"
"Heyers                        ","192"
"Bahk                          ","192"
"Pehl                          ","192"
"Fontan                        ","192"
"Rosiles                       ","192"
"Ducloy                        ","192"
"Simmen                        ","192"
"Heuter                        ","192"
"Senzako                       ","192"
"Eiter                         ","192"
"Speel                         ","192"
"Kambil                        ","191"
"Byoun                         ","191"
"Kushner                       ","191"
"Sidou                         ","191"
"Hasham                        ","191"
"Kaminger                      ","191"
"Mapelli                       ","191"
"Noriega                       ","191"
"Marquardt                     ","191"
"Ghelli                        ","191"
"Vecchi                        ","191"
"Khalil                        ","191"
"Furedi                        ","191"
"Miake                         ","191"
"Vecchio                       ","191"
"Peak                          ","191"
"Fairtlough                    ","191"
"Plesums                       ","191"
"Selvestrel                    ","191"
"Roisin                        ","191"
"Weiland                       ","191"
"Hoogerwoord                   ","191"
"Thiran                        ","191"
"Peron                         ","191"
"Azumi                         ","191"
"Brandsma                      ","191"
"Bach                          ","191"
"Bruckman                      ","191"
"Khalid                        ","191"
"Rothenberg                    ","191"
"Larfeldt                      ","191"
"Bodoff                        ","191"
"Krohm                         ","191"
"Bahr                          ","191"
"Haddadi                       ","191"
"Parfitt                       ","191"
"Kilgore                       ","191"
"Salinas                       ","191"
"Plessier                      ","191"
"Gomatam                       ","191"
"Trystram                      ","191"
"Pusterhofer                   ","191"
"Anick                         ","191"
"Jervis                        ","190"
"Diderrich                     ","190"
"Birnbaum                      ","190"
"Ramaiah                       ","190"
"Haraldson                     ","190"
"Liesche                       ","190"
"Lindqvist                     ","190"
"Kohling                       ","190"
"Strandh                       ","190"
"Staylopatis                   ","190"
"Cardazo                       ","190"
"Anger                         ","190"
"Lorin                         ","190"
"Riesenhuber                   ","190"
"Klassen                       ","190"
"Jullig                        ","190"
"Baezner                       ","190"
"Peyn                          ","190"
"Merkl                         ","190"
"Seghrouchni                   ","190"
"Anandan                       ","190"
"Keohane                       ","190"
"Ranft                         ","190"
"Itzfeldt                      ","190"
"Callaway                      ","190"
"Emiris                        ","190"
"Madeira                       ","190"
"Moffat                        ","190"
"Munch                         ","190"
"Suri                          ","190"
"Suppi                         ","190"
"Czap                          ","190"
"Hanratty                      ","190"
"Underwood                     ","190"
"Steenbeek                     ","190"
"Vingron                       ","190"
"Salverda                      ","190"
"Birsak                        ","190"
"Swiss                         ","190"
"Conte                         ","190"
"Ashish                        ","190"
"Hellwagner                    ","190"
"Leslie                        ","190"
"Goodrum                       ","190"
"Reeken                        ","190"
"Bonifati                      ","189"
"Siochi                        ","189"
"Marshall                      ","189"
"Smailagic                     ","189"
"Maquelin                      ","189"
"Jahnichen                     ","189"
"Laventhal                     ","189"
"Bultermann                    ","189"
"Bellmore                      ","189"
"Przulj                        ","189"
"Huttel                        ","189"
"Farrar                        ","189"
"Gargeya                       ","189"
"Acton                         ","189"
"Kriebel                       ","189"
"Manderick                     ","189"
"Uehara                        ","189"
"Litecky                       ","189"
"Plump                         ","189"
"Lanzelotte                    ","189"
"Billawala                     ","189"
"Fiebach                       ","189"
"Pargas                        ","189"
"Boreale                       ","189"
"Gils                          ","189"
"Dulay                         ","189"
"Hanabata                      ","189"
"Rahimi                        ","189"
"Bala                          ","189"
"Horswill                      ","189"
"Perly                         ","189"
"Perfilyeva                    ","189"
"Picht                         ","189"
"Chleq                         ","189"
"Petersohn                     ","189"
"Leuchs                        ","189"
"Millington                    ","189"
"Ferretti                      ","189"
"Scharstein                    ","189"
"Orsini                        ","189"
"Valette                       ","189"
"Baar                          ","189"
"Molenkamp                     ","189"
"Ellozy                        ","189"
"Rousseau                      ","189"
"Lorys                         ","189"
"Spinelli                      ","189"
"Zaccaria                      ","189"
"Budinsky                      ","189"
"Highland                      ","189"
"Parhami                       ","189"
"Backhouse                     ","189"
"Francisci                     ","189"
"Shackel                       ","189"
"Sudkamp                       ","188"
"Bazzichi                      ","188"
"Katzenelson                   ","188"
"Kamble                        ","188"
"Delgrossi                     ","188"
"Bressoud                      ","188"
"Luan                          ","188"
"Murtha                        ","188"
"Mitina                        ","188"
"Joslin                        ","188"
"Tyugu                         ","188"
"Decleir                       ","188"
"Narwekar                      ","188"
"Bolotov                       ","188"
"Waymire                       ","188"
"Stroustrup                    ","188"
"Jansen                        ","188"
"Delgrande                     ","188"
"Ressouche                     ","188"
"Demos                         ","188"
"Majewski                      ","188"
"Puppo                         ","188"
"Tchuente                      ","188"
"Garnick                       ","188"
"Begiun                        ","188"
"Penz                          ","188"
"Besselaar                     ","188"
"Heering                       ","188"
"Rissland                      ","188"
"Zirintsis                     ","188"
"Impagliazzo                   ","188"
"Makrucki                      ","188"
"Kawashimo                     ","188"
"Oberman                       ","188"
"Reutenauer                    ","188"
"Denti                         ","188"
"Baek                          ","188"
"Yoshizawa                     ","188"
"Perry                         ","188"
"Bojadziev                     ","187"
"Zeidenstein                   ","187"
"Versino                       ","187"
"Famili                        ","187"
"Hinsberger                    ","187"
"Crooks                        ","187"
"Kusalik                       ","187"
"Nyanchama                     ","187"
"Danley                        ","187"
"Hiltgen                       ","187"
"Preusig                       ","187"
"Lenart                        ","187"
"Godskesen                     ","187"
"Beznosov                      ","187"
"Garigliano                    ","187"
"Muhling                       ","187"
"Kornatzky                     ","187"
"Yeung                         ","187"
"Rodham                        ","187"
"Belinskaya                    ","187"
"Eiron                         ","187"
"Demian                        ","187"
"Chachaty                      ","187"
"Vanwelkenhuysen               ","187"
"Benzmuller                    ","187"
"Milicic                       ","187"
"Awdeh                         ","187"
"Strehl                        ","187"
"Isard                         ","187"
"Lipner                        ","187"
"Middleton                     ","187"
"Kaiser                        ","187"
"Billingsley                   ","187"
"Siegrist                      ","187"
"Felcyn                        ","187"
"Bierman                       ","187"
"Pavlopoulou                   ","187"
"Buescher                      ","187"
"Shihab                        ","187"
"Velasco                       ","187"
"Bratten                       ","187"
"Xiaoshan                      ","187"
"Bridgland                     ","187"
"Eugenio                       ","187"
"Leivant                       ","187"
"Sethi                         ","186"
"Erbe                          ","186"
"Ratnakar                      ","186"
"Krzyzanowski                  ","186"
"Takkinen                      ","186"
"Silva                         ","186"
"Hedayat                       ","186"
"Vesel                         ","186"
"McDermid                      ","186"
"Benantar                      ","186"
"Poulakidas                    ","186"
"Cannard                       ","186"
"Facello                       ","186"
"Mitchem                       ","186"
"Goldhammer                    ","186"
"Rosen                         ","186"
"Kavvadias                     ","186"
"Talmor                        ","186"
"Lundstrom                     ","186"
"Iacovou                       ","186"
"Liedekerke                    ","186"
"Koshino                       ","186"
"Pulkowski                     ","186"
"Kranzdorf                     ","186"
"Merli                         ","186"
"Meszaros                      ","186"
"Danecki                       ","186"
"Gulak                         ","186"
"Peir                          ","186"
"Walstra                       ","186"
"Giveon                        ","186"
"Gyimothy                      ","186"
"Bain                          ","186"
"Rijckaert                     ","186"
"Berendt                       ","186"
"Lally                         ","185"
"Kakkad                        ","185"
"Plavsic                       ","185"
"Orlowski                      ","185"
"Zucker                        ","185"
"Brattka                       ","185"
"Braunschweig                  ","185"
"Schieder                      ","185"
"Reghbati                      ","185"
"Kitai                         ","185"
"Brendel                       ","185"
"Paciorek                      ","185"
"Crouzet                       ","185"
"Narahara                      ","185"
"Schwartzburd                  ","185"
"DasSarma                      ","185"
"Barvinok                      ","185"
"Marrevee                      ","185"
"Danlos                        ","185"
"Nastansky                     ","185"
"Cappelli                      ","185"
"Dusink                        ","185"
"Rosay                         ","185"
"Openshaw                      ","185"
"Tsukuda                       ","185"
"Borovoy                       ","185"
"Kropp                         ","185"
"Riefers                       ","185"
"Ranai                         ","185"
"Petereit                      ","185"
"Gruenwald                     ","185"
"Willoner                      ","185"
"Chandrasekhar                 ","185"
"Gurbaxani                     ","185"
"Erde                          ","185"
"Valtorta                      ","185"
"Ghalwash                      ","185"
"Walston                       ","185"
"Terekhov                      ","185"
"Decaestecker                  ","185"
"Veevers                       ","185"
"Fraisse                       ","185"
"Lorch                         ","185"
"Sooriamurthi                  ","185"
"Gerteisen                     ","185"
"Muhlberg                      ","185"
"Pollacia                      ","185"
"Rahier                        ","185"
"Krichel                       ","185"
"Babu                          ","184"
"Honglei                       ","184"
"Panwar                        ","184"
"Ozeki                         ","184"
"Compeau                       ","184"
"Lorcy                         ","184"
"Kaltofen                      ","184"
"Furudate                      ","184"
"Isaac                         ","184"
"Kobuchi                       ","184"
"Codenie                       ","184"
"Massonet                      ","184"
"Denna                         ","184"
"Karunanithi                   ","184"
"Heiserman                     ","184"
"Dratva                        ","184"
"Harllee                       ","184"
"Rosca                         ","184"
"Ibel                          ","184"
"Brodal                        ","184"
"Usery                         ","184"
"Hambrick                      ","184"
"Narlikar                      ","184"
"Holburn                       ","184"
"Koblitz                       ","184"
"Asrin                         ","184"
"Esposito                      ","184"
"Jeansoulin                    ","184"
"Conti                         ","184"
"Gien                          ","184"
"Chaudhury                     ","184"
"Feldmann                      ","184"
"Crabtree                      ","184"
"Stamatiou                     ","184"
"Schlumberger                  ","184"
"Welham                        ","184"
"Heemskerk                     ","184"
"Szmurlo                       ","184"
"Weedon                        ","184"
"Kusakari                      ","184"
"Schade                        ","184"
"Masaki                        ","184"
"Litvinov                      ","184"
"Rodier                        ","184"
"Dichev                        ","184"
"Schiettecatte                 ","184"
"Gill                          ","184"
"Montemayor                    ","184"
"Peot                          ","183"
"Rodite                        ","183"
"Luff                          ","183"
"Hofmeyr                       ","183"
"Cheshire                      ","183"
"Passino                       ","183"
"Bellone                       ","183"
"Veeraraghavan                 ","183"
"Birdsall                      ","183"
"Cmelik                        ","183"
"Stenning                      ","183"
"Naudin                        ","183"
"Paludetto                     ","183"
"Oxenboll                      ","183"
"Molberg                       ","183"
"Vasanthakumar                 ","183"
"Pollock                       ","183"
"Lichtman                      ","183"
"Rettelbach                    ","183"
"Perl                          ","183"
"Bottner                       ","183"
"Straney                       ","183"
"Henders                       ","183"
"Reistad                       ","183"
"Cappelletti                   ","183"
"Pietrzykowski                 ","183"
"Schaft                        ","183"
"Escriba                       ","183"
"Stasinski                     ","183"
"Koshiba                       ","183"
"Haldar                        ","183"
"Sankaranarayanan              ","183"
"Lovengreen                    ","183"
"Koyama                        ","183"
"Olano                         ","183"
"Mansanne                      ","183"
"Munoz                         ","183"
"Hooghiemstra                  ","183"
"Zolotykh                      ","183"
"Peac                          ","183"
"Krone                         ","183"
"Wegerle                       ","183"
"Stavenow                      ","183"
"Debuse                        ","183"
"Waeselynck                    ","183"
"Terlouw                       ","183"
"Waterhouse                    ","183"
"Menhardt                      ","183"
"Fadgyas                       ","183"
"Dehkordi                      ","183"
"Businaro                      ","183"
"Rothe                         ","183"
"Alpay                         ","183"
"Randt                         ","183"
"Raney                         ","183"
"Klerer                        ","183"
"Kroll                         ","182"
"Peng                          ","182"
"Basawa                        ","182"
"Lammel                        ","182"
"Eterovic                      ","182"
"Krogh                         ","182"
"Renear                        ","182"
"Suermann                      ","182"
"Murillo                       ","182"
"Pettit                        ","182"
"Trelles                       ","182"
"Claffy                        ","182"
"Jumpertz                      ","182"
"Besancenot                    ","182"
"Einsfeld                      ","182"
"Verhaegen                     ","182"
"Talmon                        ","182"
"Naumovich                     ","182"
"Azadmanesh                    ","182"
"Buchter                       ","182"
"Guenter                       ","182"
"Raczkowsky                    ","182"
"Busillo                       ","182"
"Msuda                         ","182"
"Kavraki                       ","182"
"Ratzlaff                      ","182"
"Lortz                         ","182"
"Back                          ","182"
"Zlotek                        ","182"
"Rohrbach                      ","182"
"Uludag                        ","182"
"Auria                         ","182"
"Grandbois                     ","182"
"Poehlman                      ","182"
"Anily                         ","182"
"Matzat                        ","182"
"Varman                        ","182"
"Poujol                        ","182"
"Setlzner                      ","182"
"Baak                          ","182"
"Speer                         ","182"
"Gluchowski                    ","182"
"England                       ","182"
"Koblick                       ","182"
"Baez                          ","182"
"Ariola                        ","182"
"Luck                          ","182"
"Vuskovic                      ","182"
"Uhrik                         ","182"
"Birke                         ","182"
"Ushiama                       ","182"
"Bale                          ","182"
"Spieker                       ","182"
"Percebois                     ","182"
"Swist                         ","181"
"Flasterstein                  ","181"
"Takanami                      ","181"
"Vendrig                       ","181"
"Mayerwieser                   ","181"
"Atchley                       ","181"
"Zyda                          ","181"
"Iisaka                        ","181"
"Reinhart                      ","181"
"Mahmud                        ","181"
"Quittner                      ","181"
"Spataro                       ","181"
"Comellas                      ","181"
"Ranon                         ","181"
"Chaudhuri                     ","181"
"Szemeredi                     ","181"
"Huxford                       ","181"
"Kuzuoka                       ","181"
"Gunderson                     ","181"
"Dahlbom                       ","181"
"Munos                         ","181"
"Fetvedt                       ","181"
"Schmittgen                    ","181"
"Ossenbruggen                  ","181"
"Luit                          ","181"
"Markovitch                    ","181"
"Waschkowski                   ","181"
"Asmuth                        ","181"
"Schwabacher                   ","181"
"Trachtenberg                  ","181"
"Ratnaker                      ","181"
"Varley                        ","181"
"Chiodo                        ","181"
"Smeets                        ","181"
"Broder                        ","181"
"Bashian                       ","181"
"Peroz                         ","181"
"Gilg                          ","181"
"Yemenis                       ","181"
"Angel                         ","181"
"Savasere                      ","181"
"Demri                         ","181"
"Nooteboom                     ","181"
"Harbusch                      ","181"
"Chelton                       ","181"
"Giaccio                       ","181"
"Cronan                        ","181"
"Uhrig                         ","181"
"Dayang                        ","181"
"Lichtner                      ","181"
"Staudhammer                   ","181"
"Cronau                        ","181"
"Dengi                         ","181"
"Schapiro                      ","181"
"Fujisawa                      ","181"
"Heusch                        ","181"
"Kroft                         ","181"
"Cyne                          ","181"
"Dalphin                       ","181"
"Cronin                        ","180"
"Munck                         ","180"
"Vakili                        ","180"
"Mattern                       ","180"
"Bail                          ","180"
"Fioravanti                    ","180"
"Ruther                        ","180"
"Mondadori                     ","180"
"McAffer                       ","180"
"Ligten                        ","180"
"Ballarin                      ","180"
"Vitiello                      ","180"
"Nitta                         ","180"
"Stellhorn                     ","180"
"Sullins                       ","180"
"Zizka                         ","180"
"Tsukune                       ","180"
"Binding                       ","180"
"Cooman                        ","180"
"Covnot                        ","180"
"Bennis                        ","180"
"Erie                          ","180"
"Beutelspacher                 ","180"
"Erol                          ","180"
"Zweizig                       ","180"
"Kalafatis                     ","180"
"Fabrizio                      ","180"
"Cincotta                      ","180"
"Baalen                        ","180"
"Toyoshima                     ","180"
"DuBourdieux                   ","180"
"Bahi                          ","180"
"Prochazka                     ","180"
"Christianini                  ","180"
"Sidhu                         ","180"
"Winter                        ","180"
"Bael                          ","180"
"Fasbender                     ","180"
"Kowalchuk                     ","180"
"Sherertz                      ","180"
"Chorvat                       ","180"
"Makinen                       ","180"
"Terkki                        ","180"
"Rissanen                      ","180"
"Griswold                      ","180"
"Birrer                        ","180"
"Delgrange                     ","179"
"Wilfing                       ","179"
"Lupu                          ","179"
"Streng                        ","179"
"Hebden                        ","179"
"Falco                         ","179"
"Klyachko                      ","179"
"Chiola                        ","179"
"Luon                          ","179"
"Motley                        ","179"
"Beilner                       ","179"
"Pepe                          ","179"
"Negoita                       ","179"
"Roccetti                      ","179"
"Gecseg                        ","179"
"Turnbull                      ","179"
"Marchesini                    ","179"
"Ulupinar                      ","179"
"Ladret                        ","179"
"Foong                         ","179"
"Rodiger                       ","179"
"Farrag                        ","179"
"Kolinko                       ","179"
"Hatcliff                      ","179"
"Trogemann                     ","179"
"Deverell                      ","179"
"Steinauer                     ","179"
"Hockney                       ","179"
"Schneeberger                  ","179"
"Broomell                      ","179"
"Ozeri                         ","179"
"Katalagarianos                ","179"
"Pagter                        ","179"
"Shokrollahi                   ","179"
"Krychniak                     ","179"
"Ramamoorthy                   ","179"
"Werthner                      ","179"
"Birch                         ","179"
"Bazelow                       ","179"
"Luga                          ","179"
"Prenel                        ","179"
"Dymetman                      ","179"
"McClure                       ","179"
"Yurov                         ","179"
"Puppe                         ","179"
"Azulay                        ","179"
"Berztiss                      ","179"
"Snyers                        ","179"
"Lieblein                      ","179"
"Brlek                         ","178"
"Seuren                        ","178"
"Benveniste                    ","178"
"Chenoweth                     ","178"
"Bamford                       ","178"
"Solovay                       ","178"
"Sewelson                      ","178"
"Demir                         ","178"
"Ramsey                        ","178"
"Bakhtari                      ","178"
"Attimonelli                   ","178"
"Rebaine                       ","178"
"Brickell                      ","178"
"Casley                        ","178"
"Kossowski                     ","178"
"Verspoor                      ","178"
"Binkley                       ","178"
"Sinitsyn                      ","178"
"Lagarias                      ","178"
"Tasistro                      ","178"
"Botman                        ","178"
"Peres                         ","178"
"Magliocco                     ","178"
"Levasseur                     ","178"
"Capobianchi                   ","178"
"Samarati                      ","178"
"Restivo                       ","178"
"Bernini                       ","178"
"Eastman                       ","178"
"Felder                        ","178"
"Improta                       ","178"
"Detkin                        ","178"
"Chartres                      ","178"
"Radwan                        ","178"
"Angot                         ","178"
"Rathonyi                      ","178"
"Strooper                      ","178"
"Ginneken                      ","178"
"Jarecki                       ","178"
"Murtafg                       ","178"
"Ernst                         ","178"
"Figueira                      ","178"
"Falby                         ","178"
"Kermarrec                     ","178"
"Matzke                        ","177"
"Zeilberger                    ","177"
"Magalhaes                     ","177"
"Knightly                      ","177"
"Undy                          ","177"
"Jayawardene                   ","177"
"Aseltine                      ","177"
"Feldhoffer                    ","177"
"Thiria                        ","177"
"Frezza                        ","177"
"Templeman                     ","177"
"Anido                         ","177"
"Zeleznik                      ","177"
